//airport.gat,125,14,0,warp,ein041,1,1,airport.gat,19,20
//airport,161,13,0	warp	ein_ap04	1,1,airport,47,21

//Alberta City
alberta_in,24,54,0	warp	alb17	3,2,alberta_in,64,53
alberta_in,64,57,0	warp	alb17-1	3,2,alberta_in,24,58
alberta_in,66,113,0	warp	alb18	3,1,alberta_in,66,132
alberta_in,66,130,0	warp	alb18-1	3,1,alberta_in,66,111
alberta_in,66,153,0	warp	alb19	3,2,alberta_in,66,173
alberta_in,66,170,0	warp	alb19-1	3,2,alberta_in,66,149
alb2trea,88,111,0	warp	alb002	1,1,treasure01,69,24

//===== Al De Baran Warps =====================================
aldebaran,118,63,0	warp	ald01	1,1,aldeba_in,211,117
aldebaran,139,34,0	warp	ald001	3,2,mjolnir_12,199,375
aldebaran,197,70,0	warp	ald02	1,1,aldeba_in,94,41
aldebaran,233,105,0	warp	ald04	1,1,aldeba_in,157,190
aldebaran,51,218,0	warp	ald05	1,1,aldeba_in,24,227
aldebaran,61,229,0	warp	ald06	1,1,aldeba_in,148,227
aldebaran,72,197,0	warp	ald07	1,1,aldeba_in,27,37
aldebaran,89,234,0	warp	ald08	1,1,aldeba_in,242,237
aldeba_in,103,157,0	warp	ald09	2,2,aldeba_in,137,237
aldeba_in,103,61,0	warp	ald10	2,2,aldeba_in,97,105
aldeba_in,134,237,0	warp	ald09-1	2,2,aldeba_in,100,157
aldeba_in,144,92,0	warp	ald11	2,2,aldeba_in,149,52
aldeba_in,148,224,0	warp	ald06-1	2,2,aldebaran,63,227
aldeba_in,149,55,0	warp	ald11-1	2,2,aldeba_in,144,95
aldeba_in,157,193,0	warp	ald04-1	3,2,aldebaran,231,107
aldeba_in,208,117,0	warp	ald01-1	2,2,aldebaran,116,63
aldeba_in,217,131,0	warp	ald12	2,2,aldeba_in,217,163
aldeba_in,217,160,0	warp	ald12-1	2,2,aldeba_in,217,128
aldeba_in,217,71,0	warp	ald13-1	2,2,aldeba_in,218,107
aldeba_in,218,104,0	warp	ald13	2,2,aldeba_in,218,68
aldeba_in,24,224,0	warp	ald05-1	2,2,aldebaran,53,216
aldeba_in,245,237,0	warp	ald08-1	2,2,aldebaran,91,234
aldeba_in,27,102,0	warp	ald14-1	2,2,aldeba_in,27,68
aldeba_in,27,34,0	warp	ald07-1	2,2,aldebaran,72,195
aldeba_in,27,71,0	warp	ald14	2,2,aldeba_in,27,105
aldeba_in,37,238,0	warp	ald15	2,2,aldeba_in,67,157
aldeba_in,64,157,0	warp	ald15-1	2,2,aldeba_in,34,238
aldeba_in,83,191,0	warp	ald16	2,2,aldeba_in,83,227
aldeba_in,83,224,0	warp	ald16-1	2,2,aldeba_in,83,188
aldeba_in,94,38,0	warp	ald02-1	3,2,aldebaran,197,68
aldeba_in,97,102,0	warp	ald10-1	2,2,aldeba_in,103,58

//Turbo Track Room
turbo_room,100,62,0	warp	exit_turbo	1,1,alde_gld,183,198

amatsu,177,138,0	warp	ama_house1-1	1,1,ama_in01,28,176
ama_in01,31,176,0	warp	ama_house1-2	1,1,amatsu,180,138
amatsu,248,160,0	warp	ama_house2-1	1,1,ama_in01,79,178
ama_in01,76,178,0	warp	ama_house2-2	1,1,amatsu,245,160
amatsu,168,182,0	warp	ama_warrior1-1	1,1,ama_in01,34,99
ama_in01,34,96,0	warp	ama_warrior1-2	1,1,amatsu,168,179
amatsu,52,148,0	warp	ama_deluxe1-1	1,1,ama_in01,88,97
ama_in01,88,94,0	warp	ama_deluxe1-2	1,1,amatsu,52,145
amatsu,94,117,0	warp	ama_tools1-1	1,1,ama_in01,30,24
ama_in01,33,24,0	warp	ama_tools1-2	1,1,amatsu,97,117
amatsu,132,117,0	warp	ama_weapon1-1	1,1,ama_in01,89,23
ama_in01,86,23,0	warp	ama_weapon1-2	1,1,amatsu,129,117
amatsu,217,116,0	warp	ama_tavern1-1	1,1,ama_in01,162,25
ama_in01,157,25,0	warp	ama_tavern1-2	1,1,amatsu,214,116
ama_in01,166,73,0	warp	ama_inn1-1	1,1,ama_in01,162,31
ama_in01,162,34,0	warp	ama_inn1-2	1,1,ama_in01,166,77

amatsu,85,235,0	warp	ama_castle1-1	1,1,ama_in02,223,45
ama_in02,226,45,0	warp	ama_castle1-2	1,1,amatsu,88,235
ama_in02,65,37,0	warp	ama_castle2-1	1,1,ama_in02,195,41
ama_in02,195,44,0	warp	ama_castle2-2	1,1,ama_in02,65,40
ama_in02,59,141,0	warp	ama_castle3-1	1,1,ama_in02,56,41
ama_in02,56,44,0	warp	ama_castle3-2	1,1,ama_in02,59,144
ama_in02,215,149,0	warp	ama_castle4-1	1,1,ama_in02,59,156
ama_in02,59,160,0	warp	ama_castle4-2	1,1,ama_in02,215,152
ama_in02,126,164,0	warp	ama_castle5-1	1,1,ama_in02,219,161
ama_in02,222,161,0	warp	ama_castle5-2	1,1,ama_in02,129,164

ayothaya,130,97,0	warp	ayo_tool1-1	1,1,ayo_in01,43,183
ayo_in01,46,183,0	warp	ayo_tool1-2	1,1,ayothaya,132,99
ayothaya,129,86,0	warp	ayo_tool2-1	1,1,ayo_in01,21,178
ayo_in01,23,176,0	warp	ayo_tool2-2	1,1,ayothaya,132,86
ayothaya,130,75,0	warp	ayo_tool3-1	1,1,ayo_in01,17,156
ayo_in01,17,153,0	warp	ayo_tool3-2	1,1,ayothaya,132,73
ayothaya,165,90,0	warp	ayo_weapon1-1	1,1,ayo_in01,77,174
ayo_in01,73,174,0	warp	ayo_weapon1-2	1,1,ayothaya,162,90
ayothaya,177,90,0	warp	ayo_weapon2-1	1,1,ayo_in01,95,175
ayo_in01,98,175,0	warp	ayo_weapon2-2	1,1,ayothaya,180,90
ayothaya,173,77,0	warp	ayo_weapon3-1	1,1,ayo_in01,85,152
ayo_in01,85,149,0	warp	ayo_weapon3-2	1,1,ayothaya,173,74
ayothaya,229,69,0	warp	ayo_pub1-1	1,1,ayo_in01,137,192
ayo_in01,137,195,0	warp	ayo_pub1-2	1,1,ayothaya,229,72
ayothaya,202,161,0	warp	ayo_inn1-1	1,1,ayo_in01,31,108
ayo_in01,31,111,0	warp	ayo_inn1-2	1,1,ayothaya,202,164
ayothaya,211,150,0	warp	ayo_inn2-1	1,1,ayo_in01,47,94
ayo_in01,50,94,0	warp	ayo_inn2-2	1,1,ayothaya,214,150
ayothaya,202,140,0	warp	ayo_inn3-1	1,1,ayo_in01,31,81
ayo_in01,31,78,0	warp	ayo_inn3-2	1,1,ayothaya,202,137
ayothaya,192,150,0	warp	ayo_inn4-1	1,1,ayo_in01,13,94
ayo_in01,10,94,0	warp	ayo_inn4-2	1,1,ayothaya,189,150
ayo_in01,13,107,0	warp	ayo_stairNW1-1	1,1,ayo_in01,132,27
ayo_in01,135,27,0	warp	ayo_roomNW1-2	1,1,ayo_in01,17,107
ayo_in01,48,107,0	warp	ayo_stairNE1-1	1,1,ayo_in01,179,27
ayo_in01,176,27,0	warp	ayo_roomNE2-2	1,1,ayo_in01,45,107
ayo_in01,13,82,0	warp	ayo_stairSW1-1	1,1,ayo_in01,18,14
ayo_in01,21,14,0	warp	ayo_roomSW1-2	1,1,ayo_in01,17,82
ayo_in01,48,82,0	warp	ayo_stairSE1-1	1,1,ayo_in01,63,14
ayo_in01,60,14,0	warp	ayo_roomSE1-2	1,1,ayo_in01,45,82
ayothaya,111,109,0	warp	ayo_house1_1-1	1,1,ayo_in01,180,129
ayo_in01,177,129,0	warp	ayo_house1_1-2	1,1,ayothaya,111,106
ayothaya,62,104,0	warp	ayo_house2_1-1	1,1,ayo_in01,191,183
ayo_in01,194,183,0	warp	ayo_house2_1-2	1,1,ayothaya,65,104
ayothaya,208,283,0	warp	ayo_shrine1-1	1,1,ayo_in02,100,152
ayo_in02,100,148,0	warp	ayo_shrine1-2	1,1,ayothaya,208,280
ayothaya,276,176,0	warp	ayo_fild1-1	1,1,ayo_fild01,37,241
ayo_fild01,32,240,0	warp	ayo_fild1-2	1,1,ayothaya,273,176

comodo,92,128,0	warp	cmd_tools1-1	1,1,cmd_in01,85,174
cmd_in01,90,174,0	warp	cmd_tools1-2	1,1,comodo,97,128
comodo,265,74,0	warp	cmd_weapon1-1	1,1,cmd_in01,123,180
cmd_in01,123,186,0	warp	cmd_weapon1-2	1,1,comodo,265,79
comodo,271,271,0	warp	cmd_house1-1	1,1,cmd_in01,113,125
cmd_in01,109,125,0	warp	cmd_house1-2	1,1,comodo,269,273
comodo,192,294,0	warp	cmd_house2-1	1,1,cmd_in01,177,123
cmd_in01,183,123,0	warp	cmd_house2-2	1,1,comodo,195,294
comodo,145,328,0	warp	cmd_house3-1	1,1,cmd_in01,120,71
cmd_in01,120,67,0	warp	cmd_house3-2	1,1,comodo,145,324
comodo,236,298,0	warp	cmd_house4-1	1,1,cmd_in01,179,81
cmd_in01,183,81,0	warp	cmd_house4-2	1,1,comodo,239,296
comodo,130,195,0	warp	cmd_KAFRA1-1	1,1,cmd_in02,143,173
cmd_in02,139,169,0	warp	cmd_KAFRA1-2	1,1,comodo,127,191
cmd_in02,208,206,0	warp	cmd_KAFRA2-1	1,1,cmd_in02,97,211
cmd_in02,98,216,0	warp	cmd_KAFRA12-2	1,1,cmd_in02,207,210
comodo,115,291,0	warp	cmd_chief1-1	1,1,cmd_in02,67,132
cmd_in02,69,129,0	warp	cmd_chief1-2	1,1,comodo,115,288
comodo,140,111,0	warp	cmd_casino1-1	1,1,cmd_in02,178,132
cmd_in02,178,136,0	warp	cmd_casino1-2	1,1,comodo,140,115
comodo,153,97,0	warp	cmd_casino2-1	1,1,cmd_in02,212,97
cmd_in02,216,97,0	warp	cmd_casino2-2	1,1,comodo,157,97
comodo,126,98,0	warp	cmd_casino3-1	1,1,cmd_in02,144,97
cmd_in02,139,97,0	warp	cmd_casino3-2	1,1,comodo,122,98
comodo,140,90,0	warp	cmd_casino4-1	1,1,cmd_in02,74,25
cmd_in02,74,21,0	warp	cmd_casino4-2	1,1,comodo,140,86
cmd_in02,168,113,0	warp	cmd_casino5-1	1,1,cmd_in02,63,73
cmd_in02,58,74,0	warp	cmd_casino5-2	1,1,cmd_in02,166,116
cmd_in02,187,78,0	warp	cmd_casino6-1	1,1,cmd_in02,84,37
cmd_in02,90,37,0	warp	cmd_casino6-2	1,1,cmd_in02,191,77

//==========================================================================
//Einbech - Weapon shop
//==========================================================================
einbech,177,136,0	warp	eib_wp01	1,1,ein_in01,190,35
ein_in01,190,38,0	warp	eib_wp01a	1,1,einbech,177,133


//==========================================================================
//Einbech - buildings
//==========================================================================
einbech,207,135,0	warp	eib_hu01	1,1,ein_in01,190,99
ein_in01,187,99,0	warp	eib_hu01a	1,1,einbech,204,135
einbech,214,121,0	warp	eib_hu02	1,1,ein_in01,205,86
ein_in01,205,83,0	warp	eib_hu02a	1,1,einbech,214,118


//==========================================================================
//Einbech - Pub
//==========================================================================
einbech,154,106,0	warp	eib_b01	1,1,ein_in01,285,89
ein_in01,288,89,0	warp	eib_b01a	1,1,einbech,157,106
einbech,145,112,0	warp	eib_b02	1,1,ein_in01,268,104
ein_in01,265,104,0	warp	eib_b02a	1,1,einbech,141,112


//=========================================================================
//Einbech - Swordman guild
//=========================================================================
einbech,256,109,0	warp	eib_js01	1,1,ein_in01,148,153
ein_in01,144,153,0	warp	eib_js01a	1,1,einbech,253,109

//==========================================================================
// Einbroch - Factory
//==========================================================================
einbroch,132,79,0	warp	ein_fa01	1,1,ein_in01,17,213
ein_in01,13,213,0	warp	ein_fa01a	1,1,einbroch,129,79
ein_in01,81,198,0	warp	ein_fa02	1,1,einbroch,179,70
einbroch,179,73,0	warp	ein_fa02a	1,1,ein_in01,81,203


//==========================================================================
//Einbroch - Near Train station
//==========================================================================
einbroch,214,263,0	warp	ein_to01	1,1,einbroch,233,315
einbroch,233,312,0	warp	ein_to01a	1,1,einbroch,214,260
einbroch,250,263,0	warp	ein_to02	1,1,einbroch,269,315
einbroch,269,312,0	warp	ein_to02a	1,1,einbroch,250,260


//==========================================================================
//Einbroch - Weapon shop
//==========================================================================
einbroch,216,214,0	warp	ein_wp01	1,1,ein_in01,108,17
ein_in01,108,13,0	warp	ein_wp01a	1,1,einbroch,216,211


//=========================================================================
//Einbroch - Hotel
//=========================================================================
einbroch,257,199,0	warp	ein_h01	1,1,ein_in01,198,224
ein_in01,195,224,0	warp	ein_h01a	1,1,einbroch,254,199
ein_in01,211,216,0	warp	ein_h02	1,1,ein_in01,274,218
ein_in01,271,218,0	warp	ein_h02a	1,1,ein_in01,208,216
ein_in01,211,232,0	warp	ein_h03	1,1,ein_in01,274,232
ein_in01,271,232,0	warp	ein_h03a	1,1,ein_in01,208,232
ein_in01,274,246,0	warp	ein_h04	1,1,ein_in01,273,276
ein_in01,273,273,0	warp	ein_h04a	1,1,ein_in01,274,243
ein_in01,264,246,0	warp	ein_h05	1,1,ein_in01,231,276
ein_in01,231,273,0	warp	ein_h05a	1,1,ein_in01,264,243
ein_in01,274,203,0	warp	ein_h06	1,1,ein_in01,274,173
ein_in01,274,176,0	warp	ein_h06a	1,1,ein_in01,274,206
ein_in01,264,203,0	warp	ein_h07	1,1,ein_in01,232,173
ein_in01,232,176,0	warp	ein_h07a	1,1,ein_in01,264,206
ein_in01,284,224,0	warp	ein_h08	1,1,ein_in01,177,277
ein_in01,180,277,0	warp	ein_h08a	1,1,ein_in01,280,224


//==========================================================================
//Einbroch - Building behind the hotel
//==========================================================================
einbroch,278,233,0	warp	ein_ho01	1,1,ein_in01,107,95
ein_in01,103,95,0	warp	ein_ho01a	1,1,einbroch,275,233
ein_in01,126,88,0	warp	ein_ho02	1,1,ein_in01,100,139
ein_in01,100,142,0	warp	ein_ho02a	1,1,ein_in01,123,85
einbroch,290,222,0	warp	ein_ho03	1,1,ein_in01,121,80
ein_in01,121,77,0	warp	ein_ho03a	1,1,einbroch,290,219


//==========================================================================
//Einbroch - House of Kapetain
//==========================================================================
einbroch,129,229,0	warp	ein_kf01	1,1,ein_in01,14,147
ein_in01,11,147,0	warp	ein_kf01a	1,1,einbroch,126,229


//=========================================================================
//Einbroch - Lab
//=========================================================================
ein_in01,286,25,0	warp	ein_lab	1,1,einbroch,54,52


//=========================================================================
//Einbroch - Blacksmith guild
//=========================================================================
einbroch,255,107,0	warp	ein_jb01	1,1,ein_in01,14,17
ein_in01,14,14,0	warp	ein_jb01a	1,1,einbroch,255,110
ein_in01,39,36,0	warp	ein_jb02	1,1,ein_in01,35,83
ein_in01,39,85,0	warp	ein_jb02a	1,1,ein_in01,36,36


//==========================================================================
//Einbroch - Field related
//==========================================================================
einbroch,157,331,0	warp	ein_fd01	1,1,ein_fild04,184,31
ein_fild04,184,26,0	warp	ein_fd01a	1,1,einbroch,157,327
einbroch,150,25,0	warp	ein_fd02	1,1,ein_fild08,164,377
ein_fild08,164,380,0	warp	ein_fd02a	1,1,einbroch,150,28

//Geffen City
geffen,119,213,0	warp	gef001	3,2,gef_fild04,187,42
geffen,120,114,0	warp	gef002	3,1,gef_tower,52,177
geffen,217,119,0	warp	gef003	2,4,gef_fild00,46,199
geffen,26,119,0	warp	gef004	2,3,gef_fild07,336,187
geffen,138,138,0	warp	gef01	1,1,geffen_in,28,110
geffen,172,174,0	warp	gef02	2,2,geffen_in,70,52
geffen,182,59,0	warp	gef03	2,2,geffen_in,106,177
geffen,43,85,0	warp	gef04	2,2,geffen_in,70,138
geffen,61,180,0	warp	gef05	3,3,geffen_in,162,97
geffen,98,141,0	warp	gef06	2,2,geffen_in,28,160
geffen_in,28,156,0	warp	gef06-1	3,1,geffen,101,138
geffen_in,100,67,0	warp	gef07	2,3,geffen_in,84,65
geffen_in,87,66,0	warp	gef07-1	2,3,geffen_in,103,67
geffen_in,104,109,0	warp	gef08	2,2,geffen_in,76,107
geffen_in,79,107,0	warp	gef08-1	2,2,geffen_in,107,109
geffen_in,113,163,0	warp	gef09	2,2,geffen_in,139,169
geffen_in,136,169,0	warp	gef09-1	2,2,geffen_in,110,163
geffen_in,114,37,0	warp	gef10	1,1,geffen_in,114,63
geffen_in,114,60,0	warp	gef10-1	1,2,geffen_in,114,34
geffen_in,138,149,0	warp	gef11	2,2,geffen_in,138,165
geffen_in,138,162,0	warp	gef11-1	2,2,geffen_in,138,146
geffen_in,26,60,0	warp	gef12	1,2,geffen_in,26,34
geffen_in,26,37,0	warp	gef12-1	1,1,geffen_in,26,63
geffen_in,52,65,0	warp	gef13	2,3,geffen_in,38,67
geffen_in,41,67,0	warp	gef13-1	2,3,geffen_in,55,65
geffen_in,70,149,0	warp	gef14	3,2,geffen_in,70,161
geffen_in,70,158,0	warp	gef14-1	3,2,geffen_in,70,146
geffen_in,70,83,0	warp	gef15	3,2,geffen_in,72,101
geffen_in,72,98,0	warp	gef15-1	3,2,geffen_in,70,80
geffen_in,163,94,0	warp	gef05-1	4,2,geffen,65,176
geffen_in,70,132,0	warp	gef04-1	3,1,geffen,46,88
geffen_in,106,181,0	warp	gef03-1	2,2,geffen,179,59
geffen_in,28,106,0	warp	gef01-1	1,3,geffen,136,136
geffen_in,70,48,0	warp	gef02-1	3,2,geffen,168,170

gonryun,221,162,0	warp	gon_house1-1	1,1,gon_in,112,98
gon_in,109,98,0	warp	gon_house1-2	1,1,gonryun,218,162
gonryun,195,93,0	warp	gon_house2-1	1,1,gon_in,95,23
gon_in,95,26,0	warp	gon_house2=2	1,1,gonryun,195,96
gonryun,107,184,0	warp	gon_tea1-1	1,1,gon_in,72,70
gon_in,72,67,0	warp	gon_tea2-1	1,1,gonryun,107,181
gonryun,215,114,0	warp	gon_tavern1-1	1,1,gon_in,152,24
gon_in,149,24,0	warp	gon_tavern1-2	1,1,gonryun,212,114
gon_in,184,36,0	warp	gon_inn1-1	1,1,gon_in,189,107
gon_in,186,107,0	warp	gon_inn1-2	1,1,gon_in,181,36
gon_in,184,11,0	warp	gon_inn2-1	1,1,gon_in,189,85
gon_in,186,85,0	warp	gon_inn2-2	1,1,gon_in,181,11
gonryun,109,131,0	warp	gon_castle1-1	1,1,gon_in,44,24
gon_in,47,24,0	warp	gon_castle1-2	1,1,gonryun,112,131
gon_in,42,35,0	warp	gon_castle2-1	1,1,gon_in,34,97
gon_in,31,97,0	warp	gon_castle2-2	1,1,gon_in,39,35
gonryun,161,8,0	warp	gon_fild1-1	1,1,gon_fild01,191,261
gon_fild01,192,265,0	warp	gon_fild1-2	1,1,gonryun,161,11

//= Hugel City ===============================================

//Entrance
hu_fild06,200,372,0	warp	hugel01	1,1,hugel,95,37
hugel,95,33,0	warp	hugel02	1,1,hu_fild06,200,367

//Church
hugel,155,114,0	warp	hugel03	1,1,hu_in01,211,177
hu_in01,211,173,0	warp	hugel04	1,1,hugel,159,114
hu_in01,162,228,0	warp	hugel05	1,1,hu_in01,199,219
hu_in01,195,219,0	warp	hugel06	1,1,hu_in01,159,228
hu_in01,162,168,0	warp	hugel07	1,1,hu_in01,200,192
hu_in01,195,192,0	warp	hugel08	1,1,hu_in01,158,168

//House
hugel,153,153,0	warp	hugel09	1,1,hu_in01,287,231
hu_in01,287,227,0	warp	hugel10	1,1,hugel,153,149
hu_in01,263,252,0	warp	hugel11	1,1,hu_in01,360,253
hu_in01,365,253,0	warp	hugel12	1,1,hu_in01,268,252

//House
hugel,92,167,0	warp	hugel13	1,1,hu_in01,246,363
hu_in01,246,359,0	warp	hugel14	1,1,hugel,92,163
hu_in01,244,315,0	warp	hugel15	1,1,hu_in01,243,388
hu_in01,248,388,0	warp	hugel16	1,1,hu_in01,250,315
hu_in01,229,313,0	warp	hugel17	1,1,hu_in01,164,315
hu_in01,168,315,0	warp	hugel18	1,1,hu_in01,234,313
hu_in01,168,307,0	warp	hugel19	1,1,hu_in01,167,376
hu_in01,168,379,0	warp	hugel20	1,1,hu_in01,168,311

//House (Unofficial)
hugel,85,181,0	warp	hugel21	1,1,hu_in01,231,303
hu_in01,231,301,0	warp	hugel22	1,1,hugel,83,181

//Weapon Shop
hugel,70,157,0	warp	hugel23	1,1,hu_in01,110,373
hu_in01,110,369,0	warp	hugel24	1,1,hugel,73,155
hu_in01,108,390,0	warp	hugel25	1,1,hu_in01,107,322
hu_in01,114,322,0	warp	hugel26	1,1,hu_in01,113,389

//House
hugel,91,104,0	warp	hugel27	1,1,hu_in01,30,304
hu_in01,30,299,0	warp	hugel28	1,1,hugel,95,103
hu_in01,34,318,0	warp	hugel29	1,1,hu_in01,34,251
hu_in01,34,246,0	warp	hugel30	1,1,hu_in01,34,313

//Inn
hugel,104,79,0	warp	hugel31	1,1,hu_in01,235,107
hu_in01,231,107,0	warp	hugel32	1,1,hugel,101,77
hu_in01,268,123,0	warp	hugel33	1,1,hu_in01,265,36
hu_in01,265,42,0	warp	hugel34	1,1,hu_in01,262,123

//Library
hu_in01,37,90,0	warp	hugel36	1,1,hugel,52,95
hu_in01,15,70,0	warp	hugel37	1,1,hu_in01,15,25
hu_in01,15,29,0	warp	hugel38	1,1,hu_in01,15,74
hu_in01,15,151,0	warp	hugel40	1,1,hu_in01,15,104

//Hunter Guild
hugel,206,228,0	warp	hugel41	1,1,hu_in01,381,368
hu_in01,381,363,0	warp	hugel42	1,1,hugel,209,224
hu_in01,380,319,0	warp	hugel43	1,1,hu_in01,382,388
hu_in01,388,388,0	warp	hugel44	1,1,hu_in01,385,319

//Other
hu_in01,177,90,0	warp	hugel45	1,1,hugel,52,95
hu_in01,107,90,0	warp	hugel46	1,1,hugel,52,95
hu_in01,85,108,0	warp	hugel47	1,1,hu_in01,85,155
hu_in01,85,151,0	warp	hugel48	1,1,hu_in01,85,104
hu_in01,85,70,0	warp	hugel49	1,1,hu_in01,85,25
hu_in01,85,29,0	warp	hugel50	1,1,hu_in01,85,74

//Pub
hugel,129,66,0	warp	hugel51	1,1,hu_in01,350,107
hu_in01,345,107,0	warp	hugel52	1,1,hugel,126,64
hu_in01,381,118,0	warp	hugel53	1,1,hu_in01,379,173
hu_in01,379,178,0	warp	hugel54	1,1,hu_in01,376,118

//House
hugel,153,216,0	warp	hugel55	1,1,hu_in01,305,379
hu_in01,301,379,0	warp	hugel56	1,1,hugel,147,216
hu_in01,314,386,0	warp	hugel57	1,1,hu_in01,312,322
hu_in01,307,322,0	warp	hugel58	1,1,hu_in01,310,386

//House (Unofficial)
hugel,80,230,0	warp	hugel59	1,1,hu_in01,24,363
hu_in01,24,361,0	warp	hugel60	1,1,hugel,82,230

//Bingo
hugel,55,208,0	warp	hugelwarp1051	1,1,que_bingo,49,9
que_bingo,49,7,0	warp	hugelwarp1052	1,1,hugel,57,207
que_bingo,39,34,0	warp	hugelwarp1053	1,1,que_bingo,34,109
que_bingo,34,105,0	warp	hugelwarp1054	1,1,que_bingo,38,28
que_bingo,53,34,0	warp	hugelwarp1055	1,1,que_bingo,49,71
que_bingo,48,66,0	warp	hugelwarp1056	1,1,que_bingo,53,29

//= Izlude City ==============================================
izlude,109,151,0	warp	iz01	3,3,izlude_in,65,87
izlude,148,148,0	warp	iz02	2,2,izlude_in,116,49
izlude,216,129,0	warp	iz03	3,2,izlude_in,151,127
izlude,30,78,0	warp	iz001	3,3,prt_fild08,367,212
izlude,52,140,0	warp	iz04	2,2,izlude_in,74,161
izlude_in,108,169,0	warp	iz05	2,3,izlude_in,84,169
izlude_in,116,46,0	warp	iz02-1	3,2,izlude,145,145
izlude_in,148,127,0	warp	iz03-1	2,5,izlude,212,129
izlude_in,171,97,0	warp	iz06	3,2,izlude_in,172,119
izlude_in,172,116,0	warp	iz06-1	3,2,izlude_in,172,94
izlude_in,172,139,0	warp	iz07	3,2,izlude_in,172,161
izlude_in,172,158,0	warp	iz07-1	3,2,izlude_in,172,136
izlude_in,43,169,0	warp	w219	2,3,izlude_in,64,169
izlude_in,65,84,0	warp	iz01-1	5,2,izlude,113,147
izlude_in,74,158,0	warp	iz04-1	3,2,izlude,52,136
izlude_in,87,169,0	warp	iz05-1	2,3,izlude_in,111,169
izlude,149,39,0	warp	izair1	1,1,izlude,180,56
izlude,176,56,0	warp	lizair2	1,1,izlude,145,39

lighthalzen,101,248,0	warp	lhz_rekenber1-1	1,1,lhz_in01,111,126
lhz_in01,111,121,0	warp	lhz_rekenber1-2	1,1,lighthalzen,101,243
lighthalzen,106,248,0	warp	lhz_rekenber2-1	1,1,lhz_in01,116,126
lhz_in01,116,121,0	warp	lhz_rekenber2-2	1,1,lighthalzen,106,243
lhz_in01,88,215,0	warp	lhz_rekenber3-1	1,1,lhz_in01,106,18
lhz_in01,106,15,0	warp	lhz_rekenber3-2	1,1,lhz_in01,88,211
lhz_in01,140,215,0	warp	lhz_rekenber4-1	1,1,lhz_in01,158,18
lhz_in01,158,15,0	warp	lhz_rekenber4-2	1,1,lhz_in01,140,211
lhz_in01,149,179,0	warp	lhz_rekenber5-1	1,1,lhz_in01,15,24
lhz_in01,11,24,0	warp	lhz_rekenber5-2	1,1,lhz_in01,145,178
lhz_in01,76,254,0	warp	lhz_rekenber6-1	1,1,lhz_in01,100,52
lhz_in01,98,55,0	warp	lhz_rekenber6-2	1,1,lhz_in01,76,250
lhz_in01,188,254,0	warp	lhz_rekenber7-1	1,1,lhz_in01,191,52
lhz_in01,194,55,0	warp	lhz_rekenber7-2	1,1,lhz_in01,188,250
